Source,Target,SLabel,TLabel,Sclass,Tclass
38,37,Deliver Us from Evil,The Savage Nation,c,c
39,38,Give Me a Break,Deliver Us from Evil,c,c
40,38,The Enemy Within,Deliver Us from Evil,c,c
42,38,Who's Looking Out for You?,Deliver Us from Evil,c,c
43,38,The Official Handbook Vast Right Wing Conspiracy,Deliver Us from Evil,c,c
45,38,Arrogance,Deliver Us from Evil,c,c
51,38,Why Courage Matters,Deliver Us from Evil,c,c
52,38,Hollywood Interrupted,Deliver Us from Evil,c,c
45,39,Arrogance,Give Me a Break,c,c
45,40,Arrogance,The Enemy Within,c,c
45,43,Arrogance,The Official Handbook Vast Right Wing Conspiracy,c,c
45,44,Arrogance,Power Plays,c,n
52,45,Hollywood Interrupted,Arrogance,c,c
56,47,Rise of the Vulcans,The Bushes,c,c
70,47,American Dynasty,The Bushes,l,c
74,47,Plan of Attack,The Bushes,n,c
56,48,Rise of the Vulcans,Things Worth Fighting For,c,c
56,49,Rise of the Vulcans,"Surprise, Security, the American Experience",c,n
56,50,Rise of the Vulcans,Allies,c,c
74,51,Plan of Attack,Why Courage Matters,n,c
62,56,America Unbound,Rise of the Vulcans,l,c
63,56,The Choice,Rise of the Vulcans,l,c
66,56,Soft Power,Rise of the Vulcans,l,c
67,56,Colossus,Rise of the Vulcans,n,c
75,56,Bush at War,Rise of the Vulcans,c,c
83,56,Disarming Iraq,Rise of the Vulcans,l,c
97,57,"Dude, Where's My Country?",Downsize This!,l,l
82,58,Bushwhacked,Stupid White Men,l,l
84,58,Lies and the Lying Liars Who Tell Them,Stupid White Men,l,l
97,58,"Dude, Where's My Country?",Stupid White Men,l,l
84,59,Lies and the Lying Liars Who Tell Them,Rush Limbaugh Is a Big Fat Idiot,l,l
82,60,Bushwhacked,The Best Democracy Money Can Buy,l,l
97,60,"Dude, Where's My Country?",The Best Democracy Money Can Buy,l,l
98,60,Thieves in High Places,The Best Democracy Money Can Buy,l,l
97,61,"Dude, Where's My Country?",The Culture of Fear,l,l
64,62,The Great Unraveling,America Unbound,l,l
65,64,Rogue Nation,The Great Unraveling,l,l
68,64,The Sorrows of Empire,The Great Unraveling,l,l
70,64,American Dynasty,The Great Unraveling,l,l
71,64,Big Lies,The Great Unraveling,l,l
72,64,The Lies of George W. Bush,The Great Unraveling,l,l
74,64,Plan of Attack,The Great Unraveling,n,l
78,64,The Bubble of American Supremacy,The Great Unraveling,l,l
82,64,Bushwhacked,The Great Unraveling,l,l
83,64,Disarming Iraq,The Great Unraveling,l,l
84,64,Lies and the Lying Liars Who Tell Them,The Great Unraveling,l,l
86,64,The Buying of the President 2004,The Great Unraveling,l,l
87,64,Perfectly Legal,The Great Unraveling,l,l
88,64,Hegemony or Survival,The Great Unraveling,l,l
91,64,Had Enough?,The Great Unraveling,l,l
94,64,What Liberal Media?,The Great Unraveling,l,l
95,64,The Clinton Wars,The Great Unraveling,l,l
97,64,"Dude, Where's My Country?",The Great Unraveling,l,l
98,64,Thieves in High Places,The Great Unraveling,l,l
69,66,Against All Enemies,Soft Power,l,l
69,68,Against All Enemies,The Sorrows of Empire,l,l
70,68,American Dynasty,The Sorrows of Empire,l,l
73,68,Worse Than Watergate,The Sorrows of Empire,l,l
70,69,American Dynasty,Against All Enemies,l,l
71,69,Big Lies,Against All Enemies,l,l
72,69,The Lies of George W. Bush,Against All Enemies,l,l
73,69,Worse Than Watergate,Against All Enemies,l,l
74,69,Plan of Attack,Against All Enemies,n,l
75,69,Bush at War,Against All Enemies,c,l
76,69,The New Pearl Harbor,Against All Enemies,l,l
77,69,Bushwomen,Against All Enemies,l,l
78,69,The Bubble of American Supremacy,Against All Enemies,l,l
79,69,Living History,Against All Enemies,l,l
80,69,The Politics of Truth,Against All Enemies,l,l
81,69,Fanatics and Fools,Against All Enemies,l,l
71,70,Big Lies,American Dynasty,l,l
72,70,The Lies of George W. Bush,American Dynasty,l,l
73,70,Worse Than Watergate,American Dynasty,l,l
74,70,Plan of Attack,American Dynasty,n,l
76,70,The New Pearl Harbor,American Dynasty,l,l
77,70,Bushwomen,American Dynasty,l,l
78,70,The Bubble of American Supremacy,American Dynasty,l,l
80,70,The Politics of Truth,American Dynasty,l,l
82,70,Bushwhacked,American Dynasty,l,l
83,70,Disarming Iraq,American Dynasty,l,l
84,70,Lies and the Lying Liars Who Tell Them,American Dynasty,l,l
85,70,MoveOn's 50 Ways to Love Your Country,American Dynasty,l,l
86,70,The Buying of the President 2004,American Dynasty,l,l
87,70,Perfectly Legal,American Dynasty,l,l
88,70,Hegemony or Survival,American Dynasty,l,l
89,70,The Exception to the Rulers,American Dynasty,l,l
90,70,Freethinkers,American Dynasty,l,l
72,71,The Lies of George W. Bush,Big Lies,l,l
73,71,Worse Than Watergate,Big Lies,l,l
80,71,The Politics of Truth,Big Lies,l,l
81,71,Fanatics and Fools,Big Lies,l,l
82,71,Bushwhacked,Big Lies,l,l
87,71,Perfectly Legal,Big Lies,l,l
90,71,Freethinkers,Big Lies,l,l
91,71,Had Enough?,Big Lies,l,l
92,71,"It's Still the Economy, Stupid!",Big Lies,l,l
93,71,We're Right They're Wrong,Big Lies,l,l
94,71,What Liberal Media?,Big Lies,l,l
95,71,The Clinton Wars,Big Lies,l,l
96,71,Weapons of Mass Deception,Big Lies,l,l
97,71,"Dude, Where's My Country?",Big Lies,l,l
98,71,Thieves in High Places,Big Lies,l,l
73,72,Worse Than Watergate,The Lies of George W. Bush,l,l
76,72,The New Pearl Harbor,The Lies of George W. Bush,l,l
77,72,Bushwomen,The Lies of George W. Bush,l,l
80,72,The Politics of Truth,The Lies of George W. Bush,l,l
82,72,Bushwhacked,The Lies of George W. Bush,l,l
85,72,MoveOn's 50 Ways to Love Your Country,The Lies of George W. Bush,l,l
86,72,The Buying of the President 2004,The Lies of George W. Bush,l,l
89,72,The Exception to the Rulers,The Lies of George W. Bush,l,l
96,72,Weapons of Mass Deception,The Lies of George W. Bush,l,l
97,72,"Dude, Where's My Country?",The Lies of George W. Bush,l,l
74,73,Plan of Attack,Worse Than Watergate,n,l
75,73,Bush at War,Worse Than Watergate,c,l
76,73,The New Pearl Harbor,Worse Than Watergate,l,l
77,73,Bushwomen,Worse Than Watergate,l,l
80,73,The Politics of Truth,Worse Than Watergate,l,l
81,73,Fanatics and Fools,Worse Than Watergate,l,l
82,73,Bushwhacked,Worse Than Watergate,l,l
84,73,Lies and the Lying Liars Who Tell Them,Big Lies,l,l
89,73,The Exception to the Rulers,Worse Than Watergate,l,l
90,73,Freethinkers,Worse Than Watergate,l,l
75,74,Bush at War,Plan of Attack,c,n
80,74,The Politics of Truth,Plan of Attack,l,n
81,74,Fanatics and Fools,Plan of Attack,l,n
82,74,Bushwhacked,Plan of Attack,l,n
84,74,Lies and the Lying Liars Who Tell Them,Plan of Attack,l,n
82,77,Bushwhacked,Bushwomen,l,l
98,77,Thieves in High Places,Bushwomen,l,l
82,79,Bushwhacked,Living History,l,l
84,79,Lies and the Lying Liars Who Tell Them,Living History,l,l
82,80,Bushwhacked,The Politics of Truth,l,l
82,81,Bushwhacked,Fanatics and Fools,l,l
98,81,Thieves in High Places,Fanatics and Fools,l,l
84,82,Lies and the Lying Liars Who Tell Them,Bushwhacked,l,l
85,82,MoveOn's 50 Ways to Love Your Country,Bushwhacked,l,l
86,82,The Buying of the President 2004,Bushwhacked,l,l
87,82,Perfectly Legal,Bushwhacked,l,l
92,82,"It's Still the Economy, Stupid!",Bushwhacked,l,l
94,82,What Liberal Media?,Bushwhacked,l,l
95,82,The Clinton Wars,Bushwhacked,l,l
97,82,"Dude, Where's My Country?",Bushwhacked,l,l
98,82,Thieves in High Places,Bushwhacked,l,l
99,82,Shrub,Bushwhacked,l,l
87,84,Perfectly Legal,Lies and the Lying Liars Who Tell Them,l,l
91,84,Had Enough?,Lies and the Lying Liars Who Tell Them,l,l
95,84,The Clinton Wars,Lies and the Lying Liars Who Tell Them,l,l
98,84,Thieves in High Places,Lies and the Lying Liars Who Tell Them,l,l
99,84,Shrub,Lies and the Lying Liars Who Tell Them,l,l
97,88,"Dude, Where's My Country?",Hegemony or Survival,l,l
98,89,Thieves in High Places,The Exception to the Rulers,l,l
97,91,"Dude, Where's My Country?",Had Enough?,l,l
98,94,Thieves in High Places,What Liberal Media?,l,l
98,96,Thieves in High Places,Weapons of Mass Deception,l,l
98,97,Thieves in High Places,"Dude, Where's My Country?",l,l
99,98,Shrub,Thieves in High Places,l,l
